Issue,Resolution
"Unable to submit GitHub repository","Ensure the repository is public and submit the correct GitHub URL."
"Streamlit deployment not working","Check deployment logs and verify that requirements.txt contains all required libraries."
"README file is missing","Create a professional README with project description, installation steps, features, and usage instructions."
"Application shows ModuleNotFoundError","Install the missing Python package using pip and update requirements.txt."
"GitHub repository is private","Change the repository visibility to public before submission."
"Live deployment link is broken","Redeploy the application and verify the URL before submitting."
"Project does not run locally","Install all dependencies from requirements.txt and verify your Python version."
"CSV file cannot be loaded","Verify the CSV format and ensure quotation marks are correctly used."
"Chatbot returns incorrect answers","Improve the FAQ dataset with additional realistic questions and answers."
"Unable to push code to GitHub","Check Git configuration and authentication before pushing changes."
"requirements.txt is missing","Generate the requirements file using pip freeze."
"Python version mismatch","Use the recommended Python version for compatibility."
"Sentence Transformer model is not downloading","Check your internet connection and Hugging Face availability."
"Streamlit page is blank","Review terminal errors and restart the application."
"Chat history disappears","Use Streamlit session_state to preserve conversation history."
"Deployment failed on Streamlit Cloud","Verify the repository, dependencies, and app entry file."
"Repository link is invalid","Copy the correct GitHub repository URL and test it."
"Repository has no README","Create a detailed README before submission."
"Project crashes after deployment","Inspect deployment logs and resolve missing dependencies."
"Git commit failed","Configure your Git username and email correctly."
"Dataset file not found","Verify the dataset path and file name."
"Permission denied while pushing","Authenticate GitHub correctly using Git Credential Manager or a personal access token."
"Application is slow","Optimize the code and cache the AI model."
"Model loading takes too long","Use Streamlit cache to avoid loading the model repeatedly."
"Deployment URL returns 404","Confirm the deployment completed successfully and use the correct URL."
"Chatbot cannot answer new questions","Expand the knowledge base with additional FAQs and support tickets."
"CSV parser error","Ensure commas inside text are enclosed within quotation marks."
"GitHub repository not updating","Commit and push the latest changes to GitHub."
"Streamlit app keeps rerunning","Review session_state usage and avoid unnecessary reruns."
"ImportError occurs","Install the required package and restart the application."
"Application freezes","Reduce unnecessary computations and optimize model loading."
"Chatbot confidence score is very low","Improve the quality and diversity of the dataset."
"Unable to install packages","Upgrade pip and verify package names."
"FileNotFoundError occurs","Check file names, folder structure, and relative paths."
"Repository contains unnecessary files","Remove cache files and use a proper .gitignore."
"Git merge conflict","Resolve the conflict locally before pushing changes."
"Deployment uses old code","Push the latest commit and redeploy the application."
"Dataset formatting issue","Verify that every row contains the correct number of columns."
"Project evaluation failed","Ensure all submission requirements are completed before submitting."
"Unable to access mentor support","Use the official communication channel provided by Internee.pk."
